price,sqft_living,condition,grade
445000,2100,5,7
770000,2910,3,9
1450000,2750,3,8
445000,2100,3,8
260000,2160,3,8
822500,2320,5,7
430000,2070,3,7
212000,1060,4,7
660500,2010,3,8
784000,3950,3,9
453246,2010,3,8
675000,2140,3,9
199000,1320,4,7
220000,2020,3,7
452000,2590,4,8
382500,1190,3,6
519950,1170,3,8
665000,1110,3,7
527700,2820,4,8
205000,1610,4,7
420000,1060,4,7
500000,2030,4,8
921500,3670,4,9
890000,2550,3,8
430000,2420,3,7
258000,2260,4,8
511000,1430,3,7
532170,1360,3,8
560000,1110,3,7
282950,1250,4,7
2250000,5180,3,12
350000,700,3,7
215000,1180,4,7
650000,3960,3,9
320000,2640,3,8
247000,1270,3,7
320000,1760,4,8
255000,2060,3,7
438000,1780,3,7
900000,3400,3,10
441000,1910,3,7
420000,2020,4,7
370000,1580,3,7
269950,1340,5,5
807100,2680,3,9
653000,2680,4,8
371500,1370,5,7
284000,1560,3,7
272000,2160,4,7
313000,1340,3,7
917500,3880,3,10
673000,2590,4,8
425000,1120,3,8
399950,1970,3,7
385000,1220,3,6
269950,1950,4,7
330000,1350,3,7
260000,1670,3,7
470000,2380,4,7
589000,2440,5,7
163500,1050,3,7
835000,3130,3,9
1095000,4090,4,10
269000,1490,4,8
560000,1900,3,8
615000,1330,4,6
585188,2230,3,8
305000,1650,3,7
166950,1190,3,6
799000,2140,4,8
400000,2180,4,7
230000,1060,3,7
256883,1690,3,8
423000,1970,5,7
465000,2150,3,8
440000,1910,3,7
385000,1350,4,7
210000,860,4,6
297000,1940,3,8
470000,1010,3,7
226500,1300,4,7
274250,910,4,6
840000,2480,4,9
677900,2440,3,8
425000,1010,3,7
180250,900,3,6
464000,2300,3,7
320000,1550,3,8
625504,1270,3,8
592500,2240,3,9
465000,2714,3,9
477000,1720,3,8
280000,850,3,6
1505000,3300,3,9
445838,2250,3,8
1072000,3900,3,8
467000,1320,4,8
686000,2760,3,10
279950,1750,3,7
527000,2330,3,8
325000,2220,4,8
328000,2020,3,7
390000,1250,5,7
479950,1510,3,8
264950,1720,4,7
235000,1430,4,7
516500,1480,3,7
655000,1450,3,7
500000,2280,5,7
315000,2940,3,8
213000,1000,3,6
475000,2480,5,7
1025000,3760,3,10
416000,2220,5,7
410000,1970,3,7
800000,3830,3,10
472000,4410,4,9
225000,1430,4,7
210000,830,3,6
455000,1430,2,7
225000,1300,4,6
480000,1030,4,7
363000,2740,3,9
2400000,3650,3,9
181000,720,3,6
250000,2010,4,7
481000,1560,4,6
260000,1810,4,7
455000,3360,3,9
415000,1510,3,8
349500,1400,3,7
245000,1730,3,7
592500,1420,5,7
385000,2360,4,7
315000,1580,4,7
255000,1230,3,7
693000,2460,3,8
780000,1660,3,8
237000,1270,4,7
525000,2100,3,10
425000,770,3,5
369900,760,5,5
290000,1700,4,7
285000,1120,3,7
415000,1070,3,7
272500,2070,3,8
2900000,5050,3,11
1365000,5310,4,11
436000,1040,4,7
210000,1700,4,7
236000,1300,3,7
331000,1080,3,7
365000,2653,3,8
450000,2290,5,8
770000,3820,3,9
455000,2210,3,8
405000,2390,3,6
304900,2600,4,7
170000,860,3,6
2050000,3830,5,9
780000,3500,3,9
330000,2420,4,8
370000,2720,3,9
467000,2500,3,7
405000,1670,3,7
675000,2900,3,8
500000,1640,4,7
389999,1890,4,7
630000,2950,4,8
360000,2160,3,9
580000,3280,3,8
550000,1970,5,8
879000,3360,3,10
265000,1320,3,7
446500,2650,3,8
404000,2030,3,7
267500,1590,3,7
3075000,4550,3,10
335000,2440,3,8
576000,1940,4,7
208633,2040,3,8
315000,2200,4,7
725000,1920,4,8
550000,1800,4,8
610750,2180,3,8
550700,1010,4,6
665000,3320,5,8
834000,2370,5,8
201000,1660,3,6
2384000,3650,5,10
1384000,4290,3,11
1400000,4290,3,11
305000,1950,3,8
487000,2590,5,8
390000,1930,4,8
548000,1470,4,7
268750,800,3,6
819900,3150,3,9
520000,2030,3,8
230000,1450,3,7
240000,1510,3,7
232000,1240,3,6
240500,1240,3,6
274975,3030,3,9
740000,2050,4,9
186375,1000,2,7
790000,2370,4,9
880000,2800,3,9
279000,2240,4,7
295000,1810,3,8
640000,1070,3,7
940000,2490,5,9
260000,1960,3,7
559900,2930,3,9
791500,1510,5,7
265000,1420,3,7
245000,1740,3,7
485000,2560,4,7
684000,3040,3,9
425000,2500,3,8
309600,1275,4,6
552250,2580,3,8
165000,1000,3,6
239900,1000,3,6
320000,1070,4,6
206600,1390,4,7
387000,2500,3,7
299000,560,3,4
855000,2270,3,9
315000,1900,4,7
437500,990,5,7
252000,1550,4,7
375000,2200,5,7
300000,1910,3,7
420000,1750,4,7
900000,1330,3,7
679900,2440,3,9
463000,1640,3,7
380000,2760,4,9
329500,1820,3,7
604950,2110,3,8
795000,3040,4,8
465000,1840,3,7
673000,2990,3,9
810000,3520,3,10
785000,2440,4,8
338000,2090,3,7
280000,1430,3,7
315000,2180,5,7
530000,2180,5,7
380000,3450,3,9
297000,1450,3,7
730000,3230,3,10
450000,1640,3,7
275000,1590,3,7
595000,2020,3,7
435000,1300,3,7
270000,1380,1,6
950000,4040,3,10
389000,2130,3,7
560000,2550,3,8
1350000,4800,3,11
799000,2510,4,8
365500,1410,4,7
252350,1650,3,7
403950,2120,3,8
385000,2040,3,7
345000,1550,3,7
490000,1980,4,9
330000,1600,3,8
927000,3300,3,8
1118000,3840,4,10
330000,1220,5,7
530000,2720,4,7
365000,1940,1,8
378750,2160,3,7
269900,1530,4,7
557000,1710,3,8
360000,3730,4,7
352000,940,4,7
437000,1750,3,8
322500,1820,3,7
650000,1510,3,9
450000,1290,3,8
278500,1570,3,7
364950,1930,3,8
840000,2840,4,10
268000,1550,3,7
517534,833,3,5
632925,2990,4,8
577500,2000,3,9
339000,2390,3,7
570000,2910,4,7
563500,2085,3,7
423000,2200,5,7
355000,1860,3,8
1550000,6070,3,12
482000,950,3,7
625000,1600,5,7
538000,2250,3,8
380000,2280,4,8
375000,940,3,7
245000,1530,5,7
310000,2190,4,7
1300000,2350,4,8
397000,1440,3,7
365000,2200,3,8
328500,2290,3,9
988000,4040,3,11
1000000,2610,5,8
237000,1490,3,7
525000,2450,3,8
749000,1710,3,9
722500,4870,3,10
843000,3130,3,10
438000,1270,3,8
578000,2120,3,8
227950,1670,5,7
196000,2070,3,7
641000,1420,3,8
350000,1250,4,6
205000,940,4,7
400000,1920,3,7
1030000,3545,3,10
505000,1260,3,7
475000,2340,3,7
520000,2590,5,8
1450000,3970,3,10
333500,1220,3,7
232000,1400,4,6
691100,2360,4,8
811000,1870,4,8
551000,2830,3,9
496500,2260,3,8
705000,1970,4,9
578000,3140,5,9
255000,1240,5,7
1050000,3450,3,10
348000,2570,4,8
230000,1510,3,7
359500,2390,3,9
330000,980,3,6
80000,430,2,4
465000,1480,3,7
325000,1850,3,8
340500,2270,4,7
342500,1810,3,8
290900,1610,3,6
868700,3840,3,10
1199000,4110,3,9
1150000,4190,3,11
859900,3390,3,9
520000,1890,3,7
460000,1610,3,9
438924,1050,3,7
315000,630,3,5
590000,2910,3,8
378500,1700,3,7
328500,1950,4,9
849950,2990,4,8
525000,1350,3,7
1385000,4860,3,9
295000,2160,4,8
1067000,4860,3,11
207950,890,3,6
699900,2810,3,9
1280000,3400,4,8
452000,1580,4,7
370000,1680,4,7
232000,1300,5,7
669950,2820,4,7
397500,1510,3,7
490000,1230,3,8
725000,2110,3,9
299000,3080,4,7
625000,1490,4,7
437500,2120,3,7
650000,3180,3,9
475000,1490,3,7
342000,1930,4,8
1197350,2770,3,10
280000,1670,4,7
240000,1330,3,7
529000,1210,4,7
442000,1190,4,7
615000,1540,4,7
1485000,4030,3,10
585000,2430,4,8
480000,2600,3,8
1095000,4410,4,9
290000,1330,3,7
615000,1900,5,7
300000,1100,4,7
308000,1980,3,6
750000,2400,3,9
2250000,4760,5,9
890000,3180,3,10
288000,1190,5,6
190000,630,3,6
515000,2530,3,8
235000,1690,4,5
275000,940,3,6
727500,1240,4,7
650000,3040,3,7
1600000,6050,3,11
365000,1590,3,6
662000,2500,3,9
270500,1780,3,7
200000,1360,3,7
970000,4740,3,10
160000,1010,4,7
204000,1040,4,6
358000,1610,4,7
452000,1570,3,7
595000,1510,4,7
249000,1360,3,7
346900,1970,3,8
2125000,5403,4,12
280000,1560,3,7
318888,2320,4,8
530000,2120,3,8
375000,2120,4,8
910000,3350,3,11
782000,2380,4,10
259950,1070,3,9
315000,2300,4,7
215000,1320,4,6
705000,2180,4,7
1450000,4380,5,10
451000,1790,3,7
261000,750,4,6
396000,1300,5,7
725000,2990,3,9
1950000,4640,3,11
238000,1400,3,7
750000,2750,4,8
331500,2050,3,7
460000,2230,3,7
404950,2340,4,8
880000,2870,3,9
863000,4120,3,10
638700,2080,3,7
435000,1840,3,7
260000,1180,4,6
671500,2160,5,7
610000,1180,3,8
405000,1160,4,6
338900,1830,3,7
720000,3200,3,10
442000,2560,4,7
650000,2550,5,8
263500,1330,3,7
300000,1220,4,7
266000,1805,3,7
930000,6050,3,9
530000,2320,3,8
180000,1384,4,6
619000,2720,3,9
264000,1820,4,7
730000,2130,4,7
439000,2060,3,7
268500,1420,4,7
330000,1510,3,7
640000,2160,3,8
900000,3180,4,11
370000,2110,4,8
685000,2060,5,8
505000,1830,3,7
265000,1820,4,7
290000,1610,3,8
296000,1780,3,7
360000,1840,3,7
240500,1460,3,7
372500,1400,3,8
595000,3370,3,9
515000,3590,3,9
1220000,3200,4,9
507000,1670,3,8
399950,2420,3,9
185000,1430,3,7
460000,1440,3,7
435500,1450,3,7
469000,3550,5,8
531000,1270,3,8
443500,940,3,7
223000,1670,3,7
590000,3100,3,8
340000,1100,3,7
650000,1870,4,8
533600,1930,4,8
695000,2540,3,9
242000,1280,4,7
425000,1820,3,7
525000,1490,3,7
485000,1880,3,8
175000,1250,3,7
210000,1440,3,8
260000,1920,3,7
577000,2060,3,7
200000,1210,4,7
605000,1760,4,7
325000,990,4,6
289500,960,4,6
559950,1660,3,9
1042500,1900,4,8
543500,1270,3,7
480000,3250,4,9
218000,960,5,6
565000,1330,4,7
426700,2080,5,7
650000,2690,3,8
542000,890,3,7
415000,1070,3,7
214000,1200,4,6
245000,1360,5,7
314500,2050,3,8
1120000,3000,5,9
378000,1300,3,7
305000,2250,3,7
595000,3740,4,8
729500,1660,3,9
430000,2360,3,7
240000,1760,3,7
545000,1680,3,7
530000,1320,3,7
157000,870,3,6
425000,1260,3,6
220000,1000,3,6
521000,2020,4,8
325000,1920,3,7
597500,2150,4,7
337000,1470,3,7
1000000,3180,3,10
3070000,3930,4,8
495000,990,3,6
748000,2770,3,8
888000,1250,4,7
269900,1140,3,7
496500,2250,3,7
475000,1640,3,7
312000,1255,3,7
323000,1290,3,7
331000,1300,3,7
306000,1220,3,8
655000,2630,3,8
290000,1950,4,8
1250000,3160,5,9
460000,1550,4,7
435000,1700,4,7
664000,2510,5,8
865000,1800,4,8
385000,1800,3,8
497000,1870,3,7
280000,1010,4,7
188000,1120,3,6
478500,2090,3,8
1145000,4370,3,11
222000,1440,4,7
799000,2580,3,8
609900,3190,3,10
413000,2380,4,7
400000,1420,3,7
802541,2990,3,9
320000,2680,3,8
507000,2730,3,7
387500,1220,3,6
396000,1500,3,7
373000,1830,3,8
1484900,4570,5,10
359900,2470,3,8
410000,800,3,6
690000,2900,3,9
245000,1410,3,7
700000,2830,5,8
268000,1680,3,7
225000,1760,3,7
980000,2240,3,8
795000,1380,3,5
195000,820,3,6
480000,2180,2,6
485000,1400,3,7
130000,880,3,5
325000,1060,4,6
440000,1530,4,7
550000,2480,3,8
310000,1490,5,6
530000,3660,4,9
390000,2340,3,8
243000,1450,4,7
639000,2210,3,9
215000,1130,4,7
405000,1550,3,7
250000,1710,5,7
405500,1010,5,7
452000,2660,3,7
730000,2660,3,7
267000,1300,3,7
289950,1670,3,7
565000,960,5,7
1578000,4670,4,12
636000,2140,3,8
350000,2520,3,8
320000,1650,5,7
210000,1440,4,8
245000,1050,3,7
328000,1470,3,7
985000,4230,3,11
501000,1970,5,8
315000,1540,3,7
403000,2090,3,8
550000,2380,4,8
347500,2156,3,9
365000,2070,4,8
588000,1910,4,8
605000,1920,4,8
1300000,3400,4,9
233000,1400,3,7
360000,2210,3,8
459000,1170,3,6
740000,2100,4,9
305000,1160,3,7
395000,1500,3,6
560000,2940,3,8
650000,2010,4,7
449950,2170,3,7
517500,1430,4,7
435000,1510,3,7
329999,1150,3,6
950000,2150,5,8
447000,1370,5,7
699800,2380,3,8
850000,1370,5,7
316500,1600,3,7
942500,3750,4,9
1310000,3950,3,10
856600,2400,4,9
405600,2830,4,8
565000,2440,3,8
400000,1190,3,8
330000,1400,3,7
374950,2730,3,7
405300,2390,5,7
560000,2060,3,8
824000,2490,4,8
260000,1100,5,7
760000,2430,5,8
405000,3170,3,10
429900,2640,3,8
341500,1130,4,7
465250,1940,3,7
450000,1100,3,7
390000,1200,4,7
420000,2000,4,8
269950,1890,3,8
493000,1910,3,7
370000,2710,3,9
2250000,4860,5,10
305000,1250,5,7
400000,1590,5,6
320000,1240,3,8
715000,2000,4,7
650000,3610,4,8
218000,1930,4,8
500000,1280,3,7
460000,2090,4,7
232500,1940,4,7
408200,1800,4,7
522000,1730,4,7
675000,2810,3,9
1355000,3550,3,11
249950,1330,3,6
210000,750,3,6
429950,1760,3,7
737500,3200,3,9
710000,1740,5,8
470000,2100,3,8
1100000,4270,4,12
650000,1340,3,7
1216000,3190,5,9
422120,1630,3,8
625000,2990,3,9
385200,1550,3,6
500000,1690,3,8
308000,1960,3,8
565000,2390,5,8
581000,2600,3,7
361000,1950,3,8
345000,1250,4,7
419000,1180,3,8
347000,1680,3,7
625000,2220,3,9
2400000,4890,3,11
379000,2660,3,8
310000,1150,3,7
250000,1130,4,6
682000,2760,3,9
246500,1430,3,7
325000,1490,4,5
310950,2030,3,8
1100000,3010,5,9
287500,1810,4,7
431000,1810,4,7
226000,970,3,6
825000,2010,5,7
175000,1300,3,6
465750,1260,3,7
659000,2610,3,8
595000,1910,3,8
350000,1780,4,8
270000,1900,4,8
662500,2450,3,7
249900,1380,4,5
324500,1920,4,7
430000,1350,3,8
419950,1350,3,8
285000,2510,4,8
332000,2470,3,8
282000,1660,3,7
320000,1340,3,7
428750,1620,4,7
330000,2300,3,8
456500,2000,3,8
352000,1640,4,8
664000,1530,4,7
628000,4000,3,9
512000,1610,3,7
254000,2070,4,7
535800,1900,3,8
287653,1050,4,7
438000,1520,3,8
450000,2390,3,7
327000,2400,3,8
370500,1790,3,7
265000,1720,3,7
450000,2980,4,8
425000,1520,5,8
166600,1150,4,7
245000,380,3,5
565000,910,3,7
539900,1650,3,8
910000,2480,3,10
280000,2050,3,8
275000,1420,4,7
467000,3460,3,7
457500,1500,3,8
381156,1320,4,7
289999,2180,4,8
642450,1830,3,7
469950,1620,3,7
795000,2920,5,8
785000,3300,3,10
860000,3060,3,10
1095000,3064,3,7
147500,1530,3,7
390000,1910,3,7
229000,1020,3,7
185000,1150,3,6
414900,1260,3,7
200000,1920,2,6
225000,1800,3,8
720000,2040,5,7
930000,2200,5,8
1270000,3200,3,7
700000,2400,4,7
466000,1140,3,7
374000,1330,3,7
480000,1940,4,8
740000,3000,3,9
1010000,1820,3,8
395000,2910,3,8
340000,1090,3,6
209000,1230,3,7
431650,1710,3,7
980000,3160,4,9
660000,2680,3,9
730000,2190,4,8
291500,1260,4,7
905000,2970,3,9
800000,2570,3,10
839900,3810,3,9
200000,1010,3,8
300000,1480,4,7
530000,1250,5,7
314950,1654,3,7
255000,1410,5,7
550000,2160,5,7
435000,1400,4,6
234000,1420,4,7
615000,2500,3,8
205000,1410,3,7
384000,2100,4,7
324000,1750,3,8
645000,2070,4,7
570000,1570,3,8
324000,1920,3,8
270000,1000,3,6
290000,2120,5,7
250000,1440,3,7
342000,1660,3,7
255000,1340,4,7
800000,2380,4,9
451000,1560,3,7
990000,2780,3,7
288400,1860,4,7
420000,2390,3,8
359000,1370,3,8
390000,2570,3,7
300000,1320,3,7
545000,2520,3,7
288349,1250,4,6
299900,1560,3,7
891000,2330,5,7
1200000,3660,4,9
378000,2790,3,8
299995,1060,4,6
253000,2020,3,7
350000,1580,3,7
565000,2020,3,6
315000,970,4,6
570000,1490,5,7
971000,4390,3,9
915000,2750,5,9
419000,2150,4,7
260000,1810,3,7
1321500,2230,3,9
369950,2430,3,7
1029900,3680,3,10
435000,1410,3,6
601000,1330,3,8
460500,1490,3,7
720000,2020,3,8
851000,3130,3,10
550000,2670,3,7
700000,1980,3,7
323000,2100,4,7
345500,1350,5,6
378000,2140,3,7
650000,2208,5,8
385000,1010,3,7
425000,970,3,7
210000,1520,5,6
630000,2740,3,9
335000,1570,3,7
196500,1320,3,7
582800,2550,3,8
440000,1560,3,7
752500,2360,4,8
532500,1330,4,7
265000,1070,4,7
397500,1510,4,6
524250,1710,3,8
765000,2790,3,10
648000,2620,3,9
469500,2970,4,8
237500,1050,4,7
216000,1280,4,7
427200,1030,4,7
280000,1900,4,8
718000,3070,4,9
420000,1760,3,8
379000,930,3,7
326100,880,3,6
535000,1360,3,7
283000,2130,3,7
260000,1480,3,6
399000,1500,4,7
484950,1670,3,8
640000,2060,4,8
585000,2160,4,8
645000,2780,3,8
253000,1490,3,7
178500,740,3,6
291000,1860,4,7
199950,1590,3,5
553500,850,3,7
189950,1030,3,8
289000,1850,3,8
700000,1830,3,8
270000,1560,3,7
258000,1730,3,7
530000,1930,3,8
245000,1422,3,7
563000,1380,4,7
515000,2430,3,8
325000,2610,3,9
540000,2000,3,8
280300,920,4,6
460000,1750,5,7
475000,2020,4,7
900000,2460,4,9
538200,1780,4,8
429000,1080,3,7
164808,1250,3,7
520000,1870,3,7
475000,1700,3,8
283000,1480,5,6
321500,1930,3,8
840000,3130,4,10
287000,1370,4,7
375000,960,3,7
349500,1260,4,7
446450,1480,5,7
315000,1930,4,7
271310,870,2,6
315000,1300,4,7
245000,1490,4,7
543115,1380,3,8
900000,1190,3,7
2450000,4250,4,10
554000,1920,3,8
249900,2080,5,6
768000,3220,4,9
980000,3680,3,10
395000,2070,3,7
415000,1480,3,7
380000,2000,3,8
566000,1560,3,8
218500,1600,4,7
550000,1940,4,7
512031,1540,3,7
197500,820,3,6
470000,1780,3,7
590000,1560,3,7
465000,2210,4,8
499000,2040,4,7
515000,1920,3,8
716500,1930,3,9
410000,1700,3,6
850000,3450,3,8
1050000,3440,3,10
648000,2380,3,10
620000,2400,4,7
935000,5670,3,11
379000,1140,4,7
699000,1670,3,7
528000,1910,3,8
425000,1560,4,8
249500,1500,4,7
1035480,4475,3,9
790000,2840,4,9
399950,1020,3,7
275000,1410,3,7
550000,1520,3,8
140000,730,4,4
250000,1190,3,7
318000,1410,3,7
505000,1240,3,7
470500,2500,3,8
360000,1050,3,7
1242500,2680,4,9
986000,2380,4,9
515000,1060,3,7
320000,2300,4,8
310000,2010,5,7
356700,1090,4,7
775000,2320,3,7
325000,1040,3,6
208000,1810,3,7
825000,1150,4,6
515000,2360,3,9
490000,1970,4,8
675000,2690,3,8
360000,2080,5,7
550000,2080,5,7
225000,1370,3,7
500000,3410,4,8
385000,1850,4,8
837700,3010,3,10
448000,1530,3,7
730000,2690,4,7
575000,2810,3,8
430000,1810,4,7
435000,1560,3,7
241000,1010,4,6
453500,1000,4,6
285000,990,3,7
151000,720,4,5
1570000,6070,3,11
631000,2270,3,7
285000,1380,3,7
195000,1260,4,6
817500,2910,4,9
550000,1810,4,7
1127000,3160,4,9
609850,1910,3,9
200000,1230,3,6
367000,2960,3,9
285167,2200,3,8
275000,1270,4,7
350900,2540,3,9
660000,3030,5,8
525000,1520,4,7
262000,1560,3,7
690000,970,4,7
624000,3570,3,9
353000,1350,4,6
552500,3710,3,8
224500,1430,4,7
239000,940,3,6
975000,4300,3,10
1200000,3990,3,11
505000,1380,3,7
302000,2020,4,7
170000,1480,3,6
195000,1190,4,5
272000,2550,4,7
369000,2550,4,7
332500,1500,3,7
515000,3000,4,8
269000,1690,3,7
1278000,4390,4,11
303000,1560,3,7
420000,2940,3,8
400000,1130,3,7
225000,1020,5,6
219000,1310,3,6
605000,2570,3,9
625000,2020,5,8
380000,1680,3,5
620000,1770,4,7
687500,3190,3,10
225500,1440,5,6
252500,1150,5,7
510000,1860,3,8
510000,2430,3,8
725000,1940,5,7
75000,670,3,3
492000,880,3,7
425000,1930,4,7
1955000,3120,4,8
298900,1830,3,8
699000,3230,4,10
310000,700,4,6
350000,1010,3,7
790000,2460,3,7
305000,2230,3,8
315000,1570,3,7
267500,2390,5,7
1750000,3460,3,10
435000,2400,3,8
482500,2940,4,8
5110800,8010,3,12
439995,1570,4,7
460000,1520,3,7
194000,1070,4,7
290000,440,4,5
274700,2440,5,7
900000,2660,5,8
1150000,4460,3,11
605000,2010,3,9
359000,1450,3,7
850000,1400,3,7
505000,1500,3,8
565000,2500,3,9
585000,1280,4,7
328000,3380,3,7
749950,2910,3,9
826000,3060,3,9
535000,1330,4,7
925000,3300,4,10
875000,3250,3,10
902000,2530,5,9
423000,1830,3,7
235000,1170,4,6
545000,2930,4,8
343000,1230,3,7
334950,1620,3,8
405000,1760,3,7
220000,1440,3,7
173000,1740,3,6
655000,1270,3,7
406000,880,3,6
632000,2560,3,7
357000,1540,3,7
361000,1150,3,7
277000,770,3,6
630000,4610,4,10
254000,1850,3,8
472800,1840,3,8
263000,1490,3,6
510000,1490,3,6
179950,960,4,7
525000,1580,3,8
479000,1260,3,8
651000,1940,5,7
949000,2490,4,8
392400,2520,3,7
585000,1760,4,7
460000,4190,3,7
470000,1170,3,7
245000,1600,3,7
500000,2760,4,8
455000,2090,3,8
485500,2320,3,7
1875000,4110,3,9
100000,770,3,7
307000,1410,3,7
475000,3660,3,10
330000,2180,3,7
130000,1110,4,7
320000,2280,3,8
735000,2820,3,9
365000,1570,3,7
234000,1200,4,7
211000,1710,3,7
680000,3000,3,8
457000,2800,3,8
349000,1640,3,7
360000,2030,3,7
350000,2530,3,8
208000,990,5,6
250275,790,4,6
435000,790,4,6
270000,1800,3,6
438000,1650,4,7
659000,1980,3,8
645000,2340,4,7
685100,2790,3,9
350000,2800,3,7
375000,1840,3,6
170000,1350,2,7
880000,3030,3,9
410500,1980,3,8
780000,3690,3,10
1225000,3732,3,10
449000,1510,3,8
546000,2000,4,7
317000,1760,5,7
276900,1270,4,7
399000,2620,3,8
495000,2630,4,8
258000,2270,4,8
600000,2410,4,7
265000,1120,3,8
321000,3030,4,7
682000,2120,4,7
295700,1720,3,8
609000,2150,3,9
995000,4380,3,9
530000,2010,4,8
614000,3150,5,8
390000,2500,3,8
467000,1690,3,7
484000,3300,3,8
340000,1240,3,8
302495,2200,3,8
532500,1620,5,7
441500,2420,3,8
470000,2680,4,7
2300000,4250,3,9
590000,2400,3,9
320000,2300,3,8
363000,920,3,8
747500,2350,4,9
750000,2630,3,8
831000,2170,4,9
403000,1700,3,7
445000,2470,3,7
345000,1250,4,7
2260000,3110,3,10
371025,1530,3,7
355000,960,3,6
270000,1240,4,7
425000,2440,4,7
364808,2320,3,8
320000,1580,3,8
325000,2963,3,9
350000,2470,3,8
170000,1370,3,6
255000,960,4,6
550000,1130,3,7
835000,4930,3,12
420000,1150,4,6
925000,2190,5,8
389250,1490,3,7
748000,2600,3,8
284000,1530,3,7
588000,1680,3,7
372500,1680,4,7
285000,1900,4,7
360000,1570,3,7
275000,1370,4,7
428000,1350,3,8
847000,3010,3,8
316000,1010,4,6
375000,2050,3,8
533000,1670,3,7
556000,3840,3,11
225000,2220,3,7
537250,2590,4,8
255000,1180,4,7
530000,2950,3,7
5300000,7390,4,12
595000,2150,3,9
548000,2100,4,7
234975,1650,3,7
600000,1620,3,9
432000,1750,4,7
455000,1380,3,7
279950,1510,3,7
267500,1600,4,7
620000,1840,3,8
110000,830,2,6
625000,1810,4,8
389000,910,3,7
1200000,2120,3,9
788500,2510,4,8
567000,2100,3,8
515000,2690,3,8
605000,2430,5,8
430000,2452,3,7
805000,1550,3,7
567500,2080,3,8
647500,1290,5,7
495000,1850,4,7
825000,3370,3,9
435000,2730,4,8
445950,1300,5,7
960000,3040,3,10
780000,2440,5,8
274500,1720,4,8
729953,3230,4,8
464950,1200,3,8
620000,2350,3,8
735000,3100,3,9
450000,2040,3,8
450000,2000,3,7
842500,2160,4,9
360000,1970,3,7
585000,2270,3,8
461000,1850,4,7
345000,1350,3,7
1075000,3280,3,10
643000,2270,3,8
690000,2820,3,9
282000,1200,3,7
549000,2000,4,8
815000,2310,4,9
2200000,4640,5,8
700000,2330,4,8
933399,3940,3,9
290000,1440,3,7
372000,1960,5,7
450000,1250,4,7
303700,1981,3,8
672000,2440,4,9
334000,1150,3,6
260000,1120,3,6
749950,1800,4,8
330000,2380,4,8
830000,2920,3,8
1131000,2790,3,8
320000,1560,4,6
260000,1550,5,7
225000,1700,5,6
279200,640,3,5
520000,2680,3,8
505000,1860,4,8
234000,1490,4,7
503000,2470,3,9
606000,2390,4,8
433500,1230,4,7
250000,2840,3,8
719000,2120,4,9
381000,1770,4,8
267000,2495,3,8
275000,1170,5,7
651000,2740,3,8
439000,1050,3,7
325000,1130,4,7
490000,880,3,7
519900,2403,3,9
545000,3410,3,9
